,rb,rnb,x_equi,y_equi
28,0.05,-0.6499999999999997,7.48478052733434e-103,3.9073980642779835e-103
29,0.05,-0.5999999999999996,3.315692626187296e-94,1.8196906949627496e-94
30,0.05,-0.5499999999999996,1.4596634456790017e-85,8.421525482038281e-86
31,0.05,-0.49999999999999956,6.375970586581574e-77,3.8672216461876695e-77
32,0.05,-0.4499999999999995,2.757622003664993e-68,1.758337421068441e-68
33,0.05,-0.39999999999999947,1.1773526748112206e-59,7.892030991796409e-60
34,0.05,-0.3499999999999994,4.9398138305820575e-51,3.481027971838953e-51
35,0.05,-0.2999999999999994,2.022440731190968e-42,1.4982609439151264e-42
36,0.05,-0.24999999999999933,7.983330643196596e-34,6.217424156439456e-34
37,0.05,-0.1999999999999993,2.9697804529094613e-25,2.4314505866868353e-25
38,0.05,-0.14999999999999925,9.885061239238554e-17,8.508151056062797e-17
39,0.05,-0.0999999999999992,2.4907180046627265e-08,2.253694848282434e-08
40,0.05,-0.049999999999999156,0.6371243890825882,0.6052796974393682
41,0.05,8.881784197001252e-16,12.65821930946839,12.341780727127043
42,0.1,-1.0,9.425799883255065e-155,3.46755799364572e-155
43,0.1,-0.95,4.261970293078291e-146,1.6482787530777788e-146
44,0.1,-0.8999999999999999,1.9227975107833156e-137,7.817511297092436e-138
45,0.1,-0.8499999999999999,8.652330023588881e-129,3.6981350482301664e-129
46,0.1,-0.7999999999999998,3.881675011786131e-120,1.7441490120855666e-120
47,0.1,-0.7499999999999998,1.7352246520014508e-111,8.196620870971523e-112
