Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
74,Breeding,0,0.7907220882394667,0.9137466307277629,-0.9904667328699107,-0.9487179487179485,0.23076923076923073,0.5343452972052773,-0.9904667328699107,-0.5413250106398071,0.344814867357072,-0.4102564102564102,-0.07896155483047242,-0.4568245543010511
75,Non-breeding,0,0.9547169811320756,0.9746346999574409,-0.98734572279756,-0.23076923076923073,0.9487179487179485,0.8421903816144135,-0.98734572279756,0.09286423606185275,0.16390977443609026,0.846153846153846,0.807405305717123,0.05127974450092213
75,Breeding,0,0.6853454390693716,0.9530713576393816,-0.99177188253653,-0.7435897435897434,0.9230769230769229,0.762916725776706,-0.99177188253653,-0.5749184281458363,-0.11891048375656121,0.7948717948717947,0.7570719250957584,0.05127974450092213
76,Non-breeding,0,0.9548304724074338,0.9814441764789333,-0.9891615832032913,-0.846153846153846,0.7179487179487178,0.6336501631437084,-0.9891615832032913,0.12373386295928503,0.3697829479358775,0.5384615384615383,0.7659809902113776,0.4056647624188445
76,Breeding,0,0.8944531139168677,0.9704922684068663,-0.991204426159739,-0.6923076923076922,0.769230769230769,0.7313661512271246,-0.991204426159739,0.514881543481345,0.7167257767059159,0.5384615384615383,0.80950489431125,0.4056647624188445
77,Non-breeding,0,0.9228259327564194,0.9754858845226274,-0.968108951624344,-0.769230769230769,0.6153846153846153,0.7093488438076324,-0.968108951624344,0.5525039012625905,-0.050305007802525184,0.6410256410256409,0.7161015746914458,0.12993867422368163
77,Breeding,0,0.8134770889487871,0.9606185274507023,-0.9905802241452689,-0.8974358974358972,0.6410256410256409,0.8548446588168536,-0.9905802241452689,0.5776989643921124,-0.3982692580507874,0.46153846153846145,0.5940984536813734,0.12993867422368163
78,Non-breeding,0,0.8816853454390695,0.9447864945382325,-0.985700099304866,-0.769230769230769,0.564102564102564,-0.3518513264292808,-0.985700099304866,0.5971627181160449,0.21940700808625338,0.10256410256410255,0.494055894453114,-0.5945601487412472
78,Breeding,0,0.8269258050787347,0.9111930770322033,-0.9956873315363882,-0.9230769230769229,0.23076923076923073,-0.6346148389842531,-0.9956873315363882,0.5636827918853738,0.7852177613845936,-0.46153846153846145,0.6126542772024401,-0.5945601487412472
79,Non-breeding,0,0.9389416938572848,0.9633423180592994,-0.9744077174067245,-0.8717948717948716,0.6666666666666665,-0.009618385586608031,-0.9744077174067245,-0.28296212228684925,0.039239608455100015,0.46153846153846145,0.4349836856291673,0.22609569220158038
79,Breeding,0,0.866080295077316,0.9542062703929637,-0.9919988650872464,-0.9743589743589742,0.3589743589743589,0.09791459781529295,-0.9919988650872464,0.6316073201872606,0.6207689033905519,-0.33333333333333326,0.7125833451553413,0.22609569220158038
80,Non-breeding,0,0.9263441622925238,0.9673145126968364,-0.9930202865654705,-0.9743589743589742,0.4102564102564102,0.024939707759965957,-0.9930202865654705,-0.44610583061427156,0.6173074194921266,0.05128205128205127,0.6155483047240744,-0.17974899914533757
